Row,M_inf,theta_c_deg,beta_deg,M2,P2_P1,rho2_rho1,T2_T1,status
373,5.568185,14.844186,NaN,NaN,NaN,NaN,NaN,0
374,10.987565,6.253930,10.233521,8.440813,4.278945,2.594981,1.648931,1
375,10.948789,8.617496,NaN,NaN,NaN,NaN,NaN,0
376,8.448616,14.414376,NaN,NaN,NaN,NaN,NaN,0
377,8.030527,10.134004,NaN,NaN,NaN,NaN,NaN,0
378,11.506102,10.446162,NaN,NaN,NaN,NaN,NaN,0
379,5.906616,12.154424,NaN,NaN,NaN,NaN,NaN,0
380,9.373336,9.978784,NaN,NaN,NaN,NaN,NaN,0
381,9.072728,7.833224,12.678728,6.852638,4.459575,2.653784,1.680459,1
382,4.734457,6.227024,16.710191,4.158336,1.995335,1.622448,1.229830,1
383,4.584732,10.232873,20.604182,3.690820,2.870284,2.054241,1.397248,1
384,7.081555,13.381968,NaN,NaN,NaN,NaN,NaN,0
385,11.153413,6.616165,10.521470,8.386941,4.672636,2.720585,1.717511,1
